date,no2(ppm)
2019-11-16,0.04
2019-11-17,0.04
2019-11-18,0.016
2019-11-19,0.014
2019-11-20,0.027
2019-11-21,0.048
2019-11-22,0.052
2019-11-23,0.052
2019-11-24,0.034
2019-11-25,0.022
2019-11-26,0.039
2019-11-27,0.023
2019-11-28,0.035
2019-11-29,0.034
2019-11-30,0.05
2019-12-01,0.036
2019-12-02,0.017
2019-12-03,0.041
2019-12-04,0.033
2019-12-05,0.015
2019-12-06,0.03
2019-12-07,0.054
2019-12-08,0.045
2019-12-09,0.054
2019-12-10,0.055
2019-12-11,0.033
2019-12-12,0.015
2019-12-13,0.045
2019-12-14,0.026
2019-12-15,0.044
2019-12-16,0.053
2019-12-17,0.035
2019-12-18,0.025
2019-12-19,0.025
2019-12-20,0.024
2019-12-21,0.048
2019-12-22,0.044
2019-12-23,0.032
2019-12-24,0.041
2019-12-25,0.04
2019-12-26,0.027
2019-12-27,0.021
2019-12-28,0.04
2019-12-29,0.037
2019-12-30,0.03
2019-12-31,0.012
2020-01-01,0.036
2020-01-02,0.038
2020-01-03,0.033
2020-01-04,0.035
2020-01-05,0.041
2020-01-06,0.043
2020-01-07,0.034
2020-01-08,0.02
2020-01-09,0.018
2020-01-10,0.033
2020-01-11,0.03
2020-01-12,0.016
2020-01-13,0.017
2020-01-14,0.029
2020-01-15,0.025
2020-01-16,0.03
2020-01-17,0.039
2020-01-18,0.037
2020-01-19,0.032
2020-01-20,0.021
2020-01-21,0.035
2020-01-22,0.046
2020-01-23,0.035
2020-01-24,0.025
2020-01-25,0.031
2020-01-26,0.024
2020-01-27,0.014
2020-01-28,0.023
2020-01-29,0.032
2020-01-30,0.027
2020-01-31,0.028
2020-02-01,0.032
2020-02-02,0.025
2020-02-03,0.014
2020-02-04,0.023
2020-02-05,0.01
2020-02-06,0.021
2020-02-07,0.022
2020-02-08,0.011
2020-02-09,0.023
2020-02-10,0.039
2020-02-11,0.05
2020-02-12,0.052
2020-02-13,0.032
2020-02-14,0.04
2020-02-15,0.037
2020-02-16,0.012
2020-02-17,0.011
2020-02-18,0.019
2020-02-19,0.041
2020-02-20,0.044
2020-02-21,0.045
2020-02-22,0.016
2020-02-23,0.019
2020-02-24,0.041
2020-02-25,0.034
2020-02-26,0.025
2020-02-27,0.024
2020-02-28,0.039
